pregunta,oracion,texto_combinado,label,len_pregunta,len_oracion,num_oraciones_contexto,prediccion
¿Qué clase de isómero nuclear es el 99mTc?,"Este isótopo se adapta muy bien a su uso, ya que emite rayos gamma fácilmente detectables con una energía de 140 keV, y su período de semidesintegración es de 6,0058 horas (es decir, en 24 horas se desintegran quince dieciseisavos del total para originar 99Tc).","¿Qué clase de isómero nuclear es el 99mTc? [SEP] Este isótopo se adapta muy bien a su uso, ya que emite rayos gamma fácilmente detectables con una energía de 140 keV, y su período de semidesintegración es de 6,0058 horas (es decir, en 24 horas se desintegran quince dieciseisavos del total para originar 99Tc).",0,8,45,4,1
¿Adónde se exiliaron Díaz y su familia?,"Exilio 
Tras renunciar, Díaz y su familia comenzaron a empacar sus cosas para retirarse al exilio, en París, Francia.","¿Adónde se exiliaron Díaz y su familia? [SEP] Exilio 
Tras renunciar, Díaz y su familia comenzaron a empacar sus cosas para retirarse al exilio, en París, Francia.",1,7,19,7,0
¿Cuándo pasó la Asociación Irlandesa de Fútbol a tener jurisdicción únicamente sobre Irlanda del Norte?,"Expansión internacional 
Desde la unificación de reglas de 1863 por parte de la Football Association de Inglaterra, cada asociación del Reino Unido de Gran Bretaña e Irlanda jugaba sus encuentros con reglas levemente diferentes, lo cual causaba problemas al momento de disputar encuentros entre sí.","¿Cuándo pasó la Asociación Irlandesa de Fútbol a tener jurisdicción únicamente sobre Irlanda del Norte? [SEP] Expansión internacional 
Desde la unificación de reglas de 1863 por parte de la Football Association de Inglaterra, cada asociación del Reino Unido de Gran Bretaña e Irlanda jugaba sus encuentros con reglas levemente diferentes, lo cual causaba problemas al momento de disputar encuentros entre sí.",0,15,45,5,1
¿Qué universidades le otorgaron títulos honoríficos a Elgar entre 1900 y 1931?,"Entre 1900 y 1931, Elgar recibió títulos honoríficos de las universidades de Cambridge, Durham, Leeds, Oxford, Yale, Aberdeen, Pittsburgh, Birmingham y Londres.","¿Qué universidades le otorgaron títulos honoríficos a Elgar entre 1900 y 1931? [SEP] Entre 1900 y 1931, Elgar recibió títulos honoríficos de las universidades de Cambridge, Durham, Leeds, Oxford, Yale, Aberdeen, Pittsburgh, Birmingham y Londres.",1,12,22,8,0
¿A quién le fascinó la película?,"El surrealismo es una de sus especialidades, pero ya no tuvo más remedio que reír.","¿A quién le fascinó la película? [SEP] El surrealismo es una de sus especialidades, pero ya no tuvo más remedio que reír.",0,6,15,14,1
¿Quiénes inventaron la marca Daimler?,"Le faltaba por resolver, sin embargo, el mecanismo de la dirección de dos ruedas; por eso era todavía un triciclo.","¿Quiénes inventaron la marca Daimler? [SEP] Le faltaba por resolver, sin embargo, el mecanismo de la dirección de dos ruedas; por eso era todavía un triciclo.",0,5,20,7,1
¿Dónde son importantes los componentes que se usan en el organismo?,Otro tipo de estudio que se puede llevar a cabo en paralelo es la identificación de los metabolitos presentes en una célula o tejido (el estudio del conjunto de esas moléculas se denomina metabolómica).,¿Dónde son importantes los componentes que se usan en el organismo? [SEP] Otro tipo de estudio que se puede llevar a cabo en paralelo es la identificación de los metabolitos presentes en una célula o tejido (el estudio del conjunto de esas moléculas se denomina metabolómica).,0,11,34,5,1
¿En qué medio se daría a conocer la entrevista a José Antonio Labordeta?,"Sobre la propiedad intelectual P:  Como político, y como cantante con una dilatada trayectoria, ¿qué beneficios cree que aportan la ley de propiedad intelectual actual y la SGAE a los nuevos creadores?","¿En qué medio se daría a conocer la entrevista a José Antonio Labordeta? [SEP] Sobre la propiedad intelectual P:  Como político, y como cantante con una dilatada trayectoria, ¿qué beneficios cree que aportan la ley de propiedad intelectual actual y la SGAE a los nuevos creadores?",0,13,32,71,1
¿Quiénes obstruyen la entrada a la refinería?,"Mientras la Organización de Países Exportadores de Petróleo (OPEP) se dispone a celebrar hoy en Viena una reunión crucial para tratar de contener la subida de los precios del crudo, transportistas y agricultores británicos se manifiestan en contra de los elevados precios del carburante.","¿Quiénes obstruyen la entrada a la refinería? [SEP] Mientras la Organización de Países Exportadores de Petróleo (OPEP) se dispone a celebrar hoy en Viena una reunión crucial para tratar de contener la subida de los precios del crudo, transportistas y agricultores británicos se manifiestan en contra de los elevados precios del carburante.",0,7,44,10,1
¿De qué acusa el fiscal Janot al mandatario brasileño?,"En esta segunda denuncia, Janot acusa el mandatario de los delitos de asociación ilícita y obstrucción a la justicia.","¿De qué acusa el fiscal Janot al mandatario brasileño? [SEP] En esta segunda denuncia, Janot acusa el mandatario de los delitos de asociación ilícita y obstrucción a la justicia.",1,9,19,11,0
¿Para qué se usaba el tronco del árbol de la Justicia?,Este era un tronco de árbol que se clavaba y servía de símbolo de la justicia que se impartiría en nombre de Su Majestad el Rey de Castilla y de las Indias.,¿Para qué se usaba el tronco del árbol de la Justicia? [SEP] Este era un tronco de árbol que se clavaba y servía de símbolo de la justicia que se impartiría en nombre de Su Majestad el Rey de Castilla y de las Indias.,0,11,32,4,1
¿Qué han provocado las palabras de Vicente Castaño?,"Sobre la desaparición de su hermano, Vicente insinuó que podría encontrarse en Estados Unidos debido a una posible negociación con la justicia de ese país: ""Lo que sí sé es que él mantenía buenas relaciones con algunos americanos.","¿Qué han provocado las palabras de Vicente Castaño? [SEP] Sobre la desaparición de su hermano, Vicente insinuó que podría encontrarse en Estados Unidos debido a una posible negociación con la justicia de ese país: ""Lo que sí sé es que él mantenía buenas relaciones con algunos americanos.",0,8,38,12,1
¿Cómo califica el autor el paso del Barcelona por la Liga de Campeones?,"El entrenador del FC Barcelona, el mallorquín Llorenc Serra Ferrer, ha realizado hoy un ejercicio de distracción respecto a la situación por la que atraviesa la parcela deportiva del club barcelonista y se ha limitado a asegurar que los ánimos están bien en el vestuario y que éste está muy unido.","¿Cómo califica el autor el paso del Barcelona por la Liga de Campeones? [SEP] El entrenador del FC Barcelona, el mallorquín Llorenc Serra Ferrer, ha realizado hoy un ejercicio de distracción respecto a la situación por la que atraviesa la parcela deportiva del club barcelonista y se ha limitado a asegurar que los ánimos están bien en el vestuario y que éste está muy unido.",0,13,51,6,1
¿Quién es el mandatario de Venezuela?,"""Apoyo la imposición de la administración de una nueva ronda de sanciones contra personas corruptas involucradas en organizar o apoyar la Asamblea Constituyente ilegítima y antidemocrática en Venezuela"", señaló el senador rubio a través de un comunicado.","¿Quién es el mandatario de Venezuela? [SEP] ""Apoyo la imposición de la administración de una nueva ronda de sanciones contra personas corruptas involucradas en organizar o apoyar la Asamblea Constituyente ilegítima y antidemocrática en Venezuela"", señaló el senador rubio a través de un comunicado.",0,6,37,17,1
¿Cuánto cotizó el café colombiano el jueves?,"La producción de café colombiano está calculada entre 9,5 y 10 millones de sacas de 60 kilos, en el año cafetero octubre de 1999 a septiembre de 2000, y en cerca de 11,5 millones de sacas en el actual año civil, porque para el último trimestre de 2000 se espera un importante aumento en la producción, resultado del plan de renovación de cultivos iniciado hace varios años.","¿Cuánto cotizó el café colombiano el jueves? [SEP] La producción de café colombiano está calculada entre 9,5 y 10 millones de sacas de 60 kilos, en el año cafetero octubre de 1999 a septiembre de 2000, y en cerca de 11,5 millones de sacas en el actual año civil, porque para el último trimestre de 2000 se espera un importante aumento en la producción, resultado del plan de renovación de cultivos iniciado hace varios años.",0,7,67,5,1
¿En qué año pretendía abandonar la presidencia Hugo Chávez?,"3 de diciembre de 2007 3 de diciembre de 2007Caracas, Venezuela — En la madrugada de este lunes, el Consejo Nacional Electoral de Venezuela, mediante un primer boletín informó que con un 50,70% por parte del bloque del ""no"" sobre un 49,29% por el bloque del ""sí"", Venezuela ha rechazado el referendo por reforma constitucional convocado por el presidente Hugo Chávez.","¿En qué año pretendía abandonar la presidencia Hugo Chávez? [SEP] 3 de diciembre de 2007 3 de diciembre de 2007Caracas, Venezuela — En la madrugada de este lunes, el Consejo Nacional Electoral de Venezuela, mediante un primer boletín informó que con un 50,70% por parte del bloque del ""no"" sobre un 49,29% por el bloque del ""sí"", Venezuela ha rechazado el referendo por reforma constitucional convocado por el presidente Hugo Chávez.",0,9,61,8,1
¿Cuál el objetivo del ts'uh Kúh?,"También en el Lejano Oriente, aunque unos cinco o seis siglos después del juego mencionado anteriormente, existió una variante japonesa llamada kemari, la cual tenía un carácter más ceremonial, siendo el objetivo del juego mantener una pelota en el aire pasándosela entre los jugadores.","¿Cuál el objetivo del ts'uh Kúh? [SEP] También en el Lejano Oriente, aunque unos cinco o seis siglos después del juego mencionado anteriormente, existió una variante japonesa llamada kemari, la cual tenía un carácter más ceremonial, siendo el objetivo del juego mantener una pelota en el aire pasándosela entre los jugadores.",0,6,44,5,1
¿Quién participó en la creación de las 14 óperas cómicas de W. S. Gilbert?,"William Schwenck Gilbert​ (Londres, Inglaterra, 18 de noviembre de 1836-Harrow (Londres), 29 de mayo de 1911) fue un dramaturgo, libretista e ilustrador inglés.","¿Quién participó en la creación de las 14 óperas cómicas de W. S. Gilbert? [SEP] William Schwenck Gilbert​ (Londres, Inglaterra, 18 de noviembre de 1836-Harrow (Londres), 29 de mayo de 1911) fue un dramaturgo, libretista e ilustrador inglés.",0,14,23,3,1
¿Cuándo estuvo Muñiz en Bruselas?,"El presidente de la Asociación Española de Titulados Náutico Pesqueros- Aetinape-, José Manuel Muñiz, ha pedido a la Unión Europea que se comiencen a recuperar caladeros propios en aguas de la UE como alternativa a las dificultades para pescar en países como Marruecos, según indica en un comunicado.","¿Cuándo estuvo Muñiz en Bruselas? [SEP] El presidente de la Asociación Española de Titulados Náutico Pesqueros- Aetinape-, José Manuel Muñiz, ha pedido a la Unión Europea que se comiencen a recuperar caladeros propios en aguas de la UE como alternativa a las dificultades para pescar en países como Marruecos, según indica en un comunicado.",0,5,48,6,1
¿Qué partido político lidera Stephen Harper?,"El Primer Ministro agradeció a los canadienses por el ""mandato refortalecido"" en el marco de la inestabilidad económica mundial.","¿Qué partido político lidera Stephen Harper? [SEP] El Primer Ministro agradeció a los canadienses por el ""mandato refortalecido"" en el marco de la inestabilidad económica mundial.",0,6,19,13,1
¿Quién es el Dr. Ron McNinch?,"2 de abril de 2013 Con Corea del Norte comentando sobre armas nucleares que podrían ser capaces de llegar al territorio estadounidense de Guam, Wikinoticias entrevistó al Dr.","¿Quién es el Dr. Ron McNinch? [SEP] 2 de abril de 2013 Con Corea del Norte comentando sobre armas nucleares que podrían ser capaces de llegar al territorio estadounidense de Guam, Wikinoticias entrevistó al Dr.",0,6,28,9,1
¿Dónde estaba la pequeña inglesa en el momento del suceso?,"El papa Benedicto XVI saludó el miércoles 30 de mayo de 2007 a los padres de Maddie, intercambió algunas palabras con ellos y bendijo la fotografía de la pequeña inglesa.","¿Dónde estaba la pequeña inglesa en el momento del suceso? [SEP] El papa Benedicto XVI saludó el miércoles 30 de mayo de 2007 a los padres de Maddie, intercambió algunas palabras con ellos y bendijo la fotografía de la pequeña inglesa.",0,10,30,6,1
¿Quién fue la figura que objetó con más fuerza a la alianza de Japón con la Alemania nazi y la Italia fascista?,"Acontecimientos de 1940 
Incluso antes de que comenzara la Segunda Guerra Mundial en Europa, los líderes militares mantuvieron un intenso debate sobre si Japón debía aliarse con la Alemania nazi y la Italia fascista.","¿Quién fue la figura que objetó con más fuerza a la alianza de Japón con la Alemania nazi y la Italia fascista? [SEP] Acontecimientos de 1940 
Incluso antes de que comenzara la Segunda Guerra Mundial en Europa, los líderes militares mantuvieron un intenso debate sobre si Japón debía aliarse con la Alemania nazi y la Italia fascista.",0,22,34,6,1
